age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,country,salary,anomaly
30,4,633742,15,10,4,3,1,2,1,0,0,45,39,0,-1
40,4,286370,5,4,2,7,0,4,1,0,0,40,26,1,-1
37,1,29054,15,10,2,1,0,4,1,0,0,42,39,1,-1
58,7,109567,10,16,2,10,0,4,1,0,0,1,39,1,-1
41,2,523910,9,13,2,3,0,2,1,0,0,40,39,0,-1
40,1,56795,12,14,4,4,1,4,0,14084,0,55,39,1,-1
35,4,138992,12,14,2,10,2,4,1,7298,0,40,39,1,-1
26,4,397317,12,14,4,10,1,4,0,0,1876,40,39,0,-1
51,4,259323,9,13,2,4,0,4,1,0,0,50,39,1,-1
36,4,128757,9,13,2,8,0,2,1,7298,0,36,39,1,-1
35,4,36270,11,9,0,3,1,4,1,0,0,60,39,0,-1
58,5,210563,11,9,2,12,5,4,0,15024,0,35,39,1,-1
17,4,65368,1,7,4,12,3,4,0,0,0,12,39,0,-1
54,5,125417,5,4,2,7,0,4,1,0,0,40,39,1,-1
37,4,635913,9,13,4,4,1,2,1,0,0,60,39,1,-1
64,0,187656,3,2,0,0,1,4,1,0,0,40,39,0,-1
90,4,51744,11,9,4,8,1,2,1,0,2206,40,39,0,-1
54,4,176681,11,9,2,1,0,2,1,0,0,20,39,0,-1
18,4,243313,11,9,4,12,3,4,0,0,0,40,39,0,-1
60,0,24215,0,6,0,0,1,0,0,0,0,10,39,0,-1
66,6,167687,11,9,2,5,0,4,1,1409,0,50,39,0,-1
75,4,314209,8,11,6,1,1,4,0,0,0,20,4,0,-1
65,4,176796,11,9,0,1,1,4,0,0,0,40,39,0,-1
35,4,538583,1,7,5,14,1,2,1,3674,0,40,39,0,-1
28,4,76714,14,15,4,10,1,4,1,0,0,55,39,1,-1
59,7,268700,11,9,2,8,0,4,1,0,0,40,39,0,-1
41,4,180138,9,13,2,4,0,4,1,0,0,50,20,1,-1
38,2,115076,12,14,2,4,0,4,1,0,0,70,39,1,-1
40,4,347890,9,13,2,10,0,4,1,0,0,40,39,1,-1
41,6,196001,11,9,2,8,5,4,0,0,0,20,39,0,-1
20,0,119156,15,10,4,0,3,4,1,0,0,20,39,0,-1
58,4,236596,11,9,2,1,0,4,1,0,0,45,39,1,-1
40,4,207578,7,12,2,13,0,4,1,0,1977,60,39,1,-1
41,4,112763,14,15,2,10,5,4,0,0,0,40,39,1,-1
59,2,171328,0,6,6,8,4,2,0,0,0,30,39,0,-1
19,2,27382,15,10,4,1,3,4,1,0,0,40,39,0,-1
58,4,259014,15,10,4,14,1,4,1,0,0,20,39,0,-1
42,6,303044,11,9,2,5,0,1,1,0,0,40,1,1,-1
17,4,245918,1,7,4,8,3,4,1,0,0,12,39,0,-1
59,4,146013,15,10,2,12,0,4,1,4064,0,40,39,0,-1
37,5,257295,15,10,2,4,0,1,1,0,0,75,37,1,-1
19,0,218956,15,10,4,0,3,4,1,0,0,24,2,0,-1
64,4,21174,11,9,2,4,0,4,1,0,0,40,39,1,-1
33,4,222205,11,9,2,3,5,4,0,0,0,40,39,1,-1
61,4,69867,11,9,2,4,0,4,1,0,0,40,39,1,-1
17,4,191260,6,5,4,8,3,4,1,1055,0,24,39,0,-1
50,6,30653,12,14,2,5,0,4,1,2407,0,98,39,0,-1
43,4,477983,11,9,2,6,0,2,1,0,0,40,39,0,-1
44,4,170924,15,10,2,3,0,4,1,7298,0,40,39,1,-1
24,4,279472,15,10,2,7,5,4,0,7298,0,48,39,1,-1
22,4,34918,9,13,4,10,1,4,0,0,0,15,11,0,-1
42,2,97688,15,10,2,3,0,4,1,5178,0,40,39,1,-1
57,1,425161,12,14,2,12,0,4,1,15024,0,40,39,1,-1
41,4,220531,14,15,2,10,0,4,1,0,0,60,39,1,-1
65,4,111095,11,9,2,14,0,4,1,0,0,16,39,0,-1
37,5,57424,9,13,0,12,1,4,0,0,0,60,39,0,-1
39,0,157443,12,14,2,0,5,1,0,3464,0,40,0,0,-1
38,4,169469,11,9,0,12,1,4,1,0,0,80,39,0,-1
48,4,146268,9,13,2,1,0,4,1,7688,0,40,39,1,-1
31,4,217460,11,9,2,14,0,4,1,0,0,45,39,1,-1
55,4,238638,11,9,2,12,0,4,1,4386,0,40,39,1,-1
35,4,193815,7,12,2,1,0,4,1,0,0,40,39,1,-1
41,5,34987,15,10,2,5,0,4,1,0,0,54,39,1,-1
34,4,142897,12,14,2,4,0,1,1,7298,0,35,36,1,-1
19,0,860348,15,10,4,0,3,2,0,0,0,25,39,0,-1
36,6,205607,9,13,0,10,1,2,0,0,0,40,39,1,-1
22,4,199698,15,10,4,12,3,4,1,0,0,15,39,0,-1
77,6,138714,15,10,2,12,0,4,1,0,0,40,39,0,-1
22,4,399087,4,3,2,7,2,4,0,0,0,40,26,0,-1
62,4,159841,11,9,6,8,1,4,0,0,0,24,39,0,-1
76,6,174309,12,14,2,3,0,4,1,0,0,10,39,0,-1
63,6,78383,11,9,2,5,0,4,1,0,0,45,39,0,-1
23,0,211601,8,11,4,0,3,2,0,0,0,15,39,0,-1
43,4,187728,15,10,2,10,5,4,0,0,1887,50,39,1,-1
58,6,321171,11,9,2,6,0,4,1,0,0,40,39,0,-1
66,4,127921,11,9,4,14,1,4,1,2050,0,55,39,0,-1
17,4,270942,4,3,4,8,2,4,1,0,0,48,26,0,-1
49,4,71195,12,14,4,10,1,4,1,0,0,60,39,0,-1
19,4,104112,11,9,4,12,4,2,1,0,0,30,14,0,-1
38,4,296478,8,11,2,3,0,4,1,7298,0,40,39,1,-1
36,7,119272,11,9,2,11,0,4,1,7298,0,40,39,1,-1
33,4,85043,11,9,4,5,1,4,1,0,0,20,39,0,-1
67,0,36135,1,7,2,0,0,4,1,0,0,8,39,0,-1
56,4,101128,7,12,3,8,1,4,1,0,0,25,20,0,-1
33,4,117963,9,13,2,4,0,4,1,0,0,40,39,1,-1
33,4,111363,9,13,2,4,0,4,1,0,0,40,39,1,-1
46,2,329752,1,7,2,14,0,4,1,0,0,30,39,0,-1
59,0,372020,9,13,2,0,0,4,1,0,0,40,39,1,-1
38,1,95432,11,9,2,1,0,4,1,0,0,40,39,1,-1
65,4,161400,1,7,6,8,4,3,1,0,0,40,39,0,-1
40,4,96129,8,11,2,13,0,4,1,0,0,40,39,1,-1
36,4,348022,0,6,2,8,5,4,0,0,0,24,39,0,-1
62,4,270092,12,14,2,10,0,4,1,0,0,40,39,1,-1
22,4,410439,11,9,3,12,1,4,1,0,0,55,39,0,-1
22,4,362589,7,12,4,12,1,4,0,0,0,15,39,0,-1
57,4,212448,9,13,0,4,1,4,0,0,0,45,39,1,-1
39,4,481060,11,9,0,12,4,4,0,0,0,40,39,0,-1
26,1,185885,15,10,4,1,4,4,0,0,0,15,39,0,-1
17,4,89821,1,7,4,8,3,4,1,0,0,10,39,0,-1
40,7,184018,8,11,2,7,0,4,1,0,0,38,39,1,-1
20,2,350845,15,10,4,1,3,4,0,0,0,10,39,0,-1
23,4,396099,11,9,4,8,1,4,0,0,0,25,39,0,-1
44,4,162028,15,10,2,1,5,4,0,0,2415,6,39,1,-1
19,4,25429,15,10,4,1,3,4,0,0,0,16,39,0,-1
35,4,220098,11,9,2,8,5,4,0,0,0,40,39,1,-1
34,7,98101,9,13,2,4,0,4,1,7688,0,45,0,1,-1
25,4,86872,9,13,2,4,0,4,1,0,0,55,39,1,-1
52,5,132178,9,13,2,4,0,4,1,0,0,50,39,1,-1
20,4,416103,15,10,4,6,3,4,1,0,0,40,39,0,-1
50,7,288353,9,13,2,11,0,4,1,0,0,40,39,1,-1
34,4,227689,8,11,0,13,1,4,0,0,0,64,39,0,-1
41,4,445382,12,14,2,4,0,4,1,0,1977,65,39,1,-1
46,6,317253,11,9,2,3,0,4,1,0,0,25,39,0,-1
28,0,123147,15,10,2,0,5,4,0,0,1887,40,39,1,-1
41,2,42346,15,10,0,8,1,2,0,0,0,24,39,0,-1
46,4,188386,10,16,2,4,0,4,1,15024,0,60,39,1,-1
31,7,1033222,15,10,2,7,0,4,1,0,0,40,39,0,-1
35,4,92440,2,8,0,3,1,4,1,0,0,50,39,1,-1
30,4,426017,1,7,4,8,3,4,0,0,0,19,39,0,-1
20,4,61777,15,10,2,12,0,4,1,0,0,30,39,0,-1
17,4,175024,1,7,4,6,3,4,1,2176,0,18,39,0,-1
32,7,92003,9,13,2,4,5,4,0,0,0,40,39,1,-1
25,4,133373,11,9,2,14,0,4,1,0,0,60,39,0,-1
23,4,204653,11,9,4,6,1,4,1,0,0,72,6,0,-1
63,5,222289,11,9,2,4,0,4,1,0,0,40,39,1,-1
80,0,107762,11,9,6,0,1,4,1,0,0,24,39,0,-1
17,0,202521,1,7,4,0,3,4,1,0,0,40,39,0,-1
40,6,204116,9,13,3,10,1,4,0,2174,0,40,39,0,-1
30,4,29662,7,12,2,8,5,4,0,0,0,25,39,1,-1
33,4,208405,12,14,2,10,0,4,1,0,0,50,39,1,-1
34,2,284843,11,9,4,5,1,2,1,594,0,60,39,0,-1
45,4,45857,11,9,0,1,1,4,0,0,0,28,39,0,-1
44,4,116632,15,10,2,10,0,4,1,0,0,40,39,1,-1
20,4,298227,15,10,4,12,1,4,1,0,0,35,39,0,-1
17,0,258872,1,7,4,0,3,4,0,0,0,5,39,0,-1
45,5,197332,15,10,2,3,0,4,1,0,0,55,39,1,-1
60,4,245062,11,9,2,3,0,4,1,0,0,40,39,1,-1
44,6,234885,11,9,2,12,5,4,0,0,0,40,39,1,-1
40,4,72887,8,11,2,7,0,1,1,0,0,40,39,1,-1
23,4,54012,11,9,2,14,0,4,1,0,0,60,39,0,-1
24,4,170070,9,13,4,13,1,4,0,0,0,20,39,0,-1
52,4,35598,11,9,0,14,4,4,1,0,0,40,39,0,-1
49,4,192776,12,14,2,4,0,4,1,0,1977,45,39,1,-1
30,4,118551,9,13,2,13,5,4,0,0,0,16,39,1,-1
60,4,201965,15,10,4,10,4,4,1,0,0,40,39,1,-1
30,4,303990,11,9,4,14,1,4,1,0,0,60,39,0,-1
67,4,49401,8,11,0,8,1,4,0,0,0,24,39,0,-1
17,4,211870,6,5,4,8,1,4,1,0,0,6,39,0,-1
22,4,281432,15,10,4,6,3,4,1,0,0,30,39,0,-1
43,6,170721,15,10,2,3,0,4,1,0,0,20,39,0,-1
28,7,70100,9,13,4,10,1,4,1,0,0,20,39,0,-1
52,0,271749,2,8,4,0,2,2,1,594,0,40,39,0,-1
25,4,189775,15,10,3,1,3,2,0,0,0,20,39,0,-1
63,0,401531,3,2,2,0,0,4,1,0,0,35,39,0,-1
59,2,286967,11,9,2,14,0,4,1,0,0,45,39,0,-1
38,4,91039,9,13,2,12,0,4,1,15024,0,60,39,1,-1
40,4,347934,11,9,4,8,1,4,0,0,0,35,39,0,-1
35,4,32220,7,12,4,4,1,4,0,0,0,60,39,0,-1
33,4,178107,9,13,4,3,3,4,1,0,0,20,39,0,-1
23,4,403107,4,3,4,8,3,4,1,0,0,40,8,0,-1
72,0,303588,11,9,2,0,0,4,1,0,0,20,39,0,-1
52,4,48925,15,10,2,1,0,4,1,0,0,40,39,0,-1
24,4,388093,9,13,4,4,1,2,1,0,0,40,39,0,-1
19,4,249609,15,10,4,11,3,4,1,0,0,8,39,0,-1
47,2,543162,11,9,5,1,4,2,0,0,0,40,39,0,-1
53,0,251804,4,3,6,0,4,2,0,0,0,30,39,0,-1
34,4,337587,15,10,2,10,0,4,1,0,0,50,39,1,-1
25,4,267044,15,10,4,1,1,0,0,0,0,20,39,0,-1
20,0,214635,15,10,4,0,3,4,1,0,0,24,39,0,-1
34,4,108116,9,13,2,10,0,4,1,0,0,50,39,1,-1
38,5,99146,9,13,2,4,0,4,1,15024,0,80,39,1,-1
50,4,196232,11,9,2,4,0,4,1,7688,0,50,39,1,-1
37,2,186035,15,10,2,13,0,4,1,0,0,45,39,1,-1
44,4,177905,15,10,0,7,4,4,1,0,0,58,39,1,-1
42,4,221172,9,13,2,4,0,4,1,0,0,40,39,1,-1
74,4,99183,15,10,0,1,1,4,0,0,0,9,39,0,-1
41,4,101739,7,12,2,4,5,4,0,0,0,50,39,1,-1
67,4,231559,14,15,2,10,0,4,1,20051,0,48,39,1,-1
57,4,190942,3,2,6,9,1,2,0,0,0,30,39,0,-1
58,4,51662,0,6,2,8,5,4,0,0,0,8,39,0,-1
72,4,205343,1,7,6,1,4,4,0,0,0,40,39,0,-1
33,1,319560,8,11,0,3,4,2,0,0,0,40,39,1,-1
69,4,136218,1,7,4,7,1,4,0,0,0,40,39,0,-1
31,4,323069,11,9,5,1,4,4,0,0,0,20,0,0,-1
54,4,212960,9,13,2,12,0,4,1,0,0,35,39,1,-1
47,4,264052,15,10,2,10,0,4,1,0,0,50,39,1,-1
52,6,334273,9,13,2,10,0,4,1,0,0,60,39,1,-1
20,4,27337,11,9,4,6,3,0,1,0,0,48,39,0,-1
43,5,188436,12,14,2,4,0,4,1,5013,0,45,39,0,-1
45,4,433665,5,4,5,8,4,4,0,0,0,40,26,0,-1
17,4,242718,1,7,4,12,3,4,1,0,0,12,39,0,-1
37,4,22463,8,11,2,3,0,4,1,0,1977,40,39,1,-1
27,4,158156,10,16,4,10,1,4,0,0,0,70,39,0,-1
29,4,350162,9,13,2,4,5,4,1,0,0,40,39,1,-1
18,0,165532,2,8,4,0,3,4,1,0,0,25,39,0,-1
58,2,283635,9,13,4,10,1,4,0,0,0,40,39,0,-1
65,0,195733,15,10,2,0,0,4,1,0,0,30,39,1,-1
57,4,69884,11,9,2,12,0,4,1,0,0,40,39,1,-1
29,4,34292,15,10,4,1,1,4,1,0,0,60,39,0,-1
52,4,25826,0,6,2,3,0,4,1,0,1887,47,39,1,-1
57,5,103948,9,13,0,10,1,4,1,0,0,80,39,0,-1
60,4,39352,5,4,4,14,1,4,1,0,0,48,39,1,-1
31,4,168387,9,13,2,10,0,4,1,7688,0,40,2,1,-1
23,0,99399,15,10,4,0,4,0,0,0,0,25,39,0,-1
42,6,214242,14,15,2,10,0,4,1,0,1902,50,39,1,-1
25,4,200408,15,10,4,13,1,4,1,2174,0,40,39,0,-1
19,4,217039,15,10,4,1,3,4,1,0,0,28,39,0,-1
60,4,51290,5,4,0,8,1,4,0,0,0,40,39,0,-1
48,4,45612,11,9,4,1,4,2,0,0,0,37,39,0,-1
51,4,410114,12,14,2,3,0,4,1,0,0,40,39,1,-1
17,4,169658,0,6,4,8,3,4,0,0,0,21,39,0,-1
52,4,200853,12,14,0,10,1,4,0,6849,0,60,39,0,-1
26,2,208122,9,13,4,10,3,4,1,1055,0,40,39,0,-1
27,4,109881,9,13,4,8,3,4,0,0,0,20,39,0,-1
52,5,51048,9,13,2,12,0,4,1,0,0,55,39,0,-1
46,4,102388,14,15,2,10,0,4,1,15024,0,45,39,1,-1
23,4,190483,9,13,4,12,3,4,0,0,0,20,39,0,-1
45,4,462440,1,7,6,8,1,2,0,0,0,20,39,0,-1
65,4,109351,6,5,6,9,4,2,0,0,0,24,39,0,-1
29,4,34383,8,11,2,14,0,4,1,0,0,55,39,0,-1
34,4,153614,11,9,2,12,0,4,1,0,0,45,39,1,-1
38,6,267556,11,9,2,12,0,4,1,0,0,64,39,0,-1
33,4,205469,15,10,2,4,0,4,1,0,0,40,39,1,-1
49,4,268090,9,13,2,12,0,4,1,0,0,26,39,1,-1
43,4,154374,15,10,2,3,0,4,1,15024,0,60,39,1,-1
30,4,103649,9,13,2,1,5,2,0,0,0,40,39,1,-1
58,6,35723,11,9,2,3,0,4,1,0,0,60,39,0,-1
19,4,262601,11,9,4,8,3,4,0,0,0,14,39,0,-1
33,4,175697,9,13,2,4,0,4,1,15024,0,60,39,1,-1
52,6,289436,10,16,2,10,0,4,1,0,0,60,39,1,-1
26,4,75654,11,9,0,3,1,4,1,0,0,55,39,0,-1
36,4,188563,15,10,2,12,0,4,1,5178,0,50,39,1,-1
50,5,195322,10,16,5,10,1,4,1,0,0,40,39,1,-1
71,4,78277,11,9,2,3,0,4,1,0,0,15,39,0,-1
30,7,169496,9,13,2,13,0,4,1,0,0,40,39,1,-1
20,4,130959,15,10,4,8,3,4,1,0,0,20,39,0,-1
24,4,556660,11,9,4,4,2,4,1,4101,0,50,39,0,-1
35,4,292472,10,16,2,10,0,1,1,0,0,40,36,1,-1
70,0,167358,6,5,6,0,4,4,0,1111,0,15,39,0,-1
44,6,335183,2,8,2,6,0,2,1,0,0,40,39,1,-1
20,4,81145,15,10,4,12,1,4,0,0,0,25,39,0,-1
42,4,341204,7,12,0,10,4,4,0,8614,0,40,39,1,-1
27,7,249362,15,10,2,14,0,4,1,3411,0,40,39,0,-1
42,4,247019,11,9,2,3,0,2,1,0,0,40,39,1,-1
17,0,80077,1,7,4,0,3,4,0,0,0,20,39,0,-1
17,6,368700,1,7,4,5,3,4,1,0,0,10,39,0,-1
33,4,182556,9,13,2,4,0,4,1,0,0,40,39,1,-1
50,5,219420,11,9,2,12,0,4,1,0,0,50,39,1,-1
22,4,240817,11,9,4,12,3,4,0,2597,0,40,39,0,-1
17,4,102726,2,8,4,8,3,4,1,0,0,16,39,0,-1
58,6,204021,11,9,6,4,1,4,1,0,0,50,39,0,-1
37,4,161141,8,11,2,3,0,4,1,0,0,40,32,1,-1
34,6,190290,11,9,2,3,0,4,1,0,0,40,39,1,-1
23,2,430828,15,10,5,4,4,2,1,0,0,40,39,0,-1
18,7,59342,1,7,4,1,3,4,0,0,0,5,39,0,-1
66,0,149422,5,4,4,0,1,4,1,0,0,4,39,0,-1
20,4,316702,15,10,4,10,3,4,1,0,0,20,39,0,-1
23,7,335453,9,13,4,13,1,4,0,0,0,20,39,0,-1
35,4,203628,12,14,4,10,1,4,1,0,0,60,39,1,-1
31,4,118710,12,14,2,13,0,4,1,0,1902,40,39,1,-1
19,4,475028,11,9,4,12,3,4,0,0,0,20,39,0,-1
46,4,295566,10,16,0,10,4,4,0,25236,0,65,39,1,-1
44,4,63042,9,13,0,4,3,4,0,0,0,50,39,1,-1
60,4,177665,11,9,2,3,0,4,1,0,0,35,39,0,-1
18,4,208103,1,7,4,8,2,4,1,0,0,25,39,0,-1
40,4,144995,8,11,2,13,0,4,1,4386,0,40,39,0,-1
36,2,382635,9,13,0,1,4,4,0,0,0,35,16,0,-1
19,7,378418,11,9,4,13,3,4,0,0,0,40,39,0,-1
22,4,214399,15,10,4,12,3,4,0,0,0,15,39,0,-1
34,4,217460,9,13,2,4,0,4,1,0,0,45,39,1,-1
29,4,271328,9,13,4,10,1,4,1,4650,0,40,39,0,-1
50,2,50459,11,9,2,4,0,4,1,0,0,42,39,1,-1
42,4,162140,9,13,2,4,0,4,1,7298,0,45,39,1,-1
20,4,299047,15,10,4,8,1,4,0,0,0,20,39,0,-1
65,6,118474,1,7,2,4,0,4,1,9386,0,59,0,1,-1
23,4,352139,15,10,4,8,1,4,0,0,0,24,39,0,-1
25,4,332702,8,11,4,8,3,4,0,0,0,15,39,0,-1
35,4,234901,15,10,2,3,0,4,1,2407,0,40,39,0,-1
56,4,156052,11,9,6,8,4,2,0,594,0,20,39,0,-1
42,4,279914,9,13,2,13,0,4,1,0,0,40,39,1,-1
19,4,192453,15,10,4,8,2,4,0,0,0,25,39,0,-1
55,6,200939,11,9,2,14,0,4,1,0,0,72,39,0,-1
42,4,151408,12,14,4,4,1,4,0,14084,0,50,39,1,-1
17,4,316929,2,8,4,6,3,4,1,0,0,20,39,0,-1
42,2,126319,9,13,2,10,5,4,0,0,0,40,39,1,-1
55,4,197422,11,9,2,14,0,4,1,7688,0,40,39,1,-1
29,7,356089,9,13,2,4,0,4,1,7688,0,40,39,1,-1
22,4,223515,9,13,4,10,4,4,1,0,0,20,39,0,-1
54,4,285854,11,9,2,14,0,4,1,0,0,40,39,1,-1
36,4,101460,11,9,4,8,1,4,0,0,0,18,39,0,-1
59,2,420537,11,9,2,1,5,4,0,0,0,38,39,1,-1
53,5,128272,10,16,2,4,0,4,1,0,0,70,39,1,-1
51,4,386773,9,13,4,12,1,4,1,0,0,55,39,1,-1
37,4,280282,8,11,2,13,5,4,0,0,0,24,39,1,-1
23,2,282579,8,11,0,13,1,4,1,0,0,56,39,0,-1
43,4,226902,9,13,2,12,0,4,1,0,0,50,39,1,-1
40,4,130760,8,11,2,4,0,4,1,0,0,50,39,1,-1
41,6,49572,15,10,2,4,0,4,1,0,0,60,39,0,-1
40,4,237601,9,13,4,12,1,3,0,0,0,55,39,1,-1
61,6,36671,11,9,2,5,0,4,1,0,2352,50,39,0,-1
18,4,231193,2,8,4,7,3,4,1,0,0,30,39,0,-1
59,0,192130,11,9,2,0,0,4,1,0,0,16,39,0,-1
21,0,149704,11,9,4,0,1,4,0,1055,0,40,39,0,-1
48,4,102102,8,11,2,13,0,4,1,0,0,50,39,1,-1
18,0,196061,15,10,4,0,3,4,1,0,0,33,39,0,-1
23,4,211046,11,9,4,12,1,4,0,2463,0,40,39,0,-1
60,4,31577,11,9,2,14,0,4,1,0,0,60,39,1,-1
22,4,162343,15,10,4,8,2,2,1,0,0,20,39,0,-1
46,4,90758,12,14,4,13,1,4,1,0,0,35,39,1,-1
43,4,274363,9,13,2,4,0,4,1,0,1902,40,9,1,-1
68,6,315859,1,7,4,5,4,4,1,0,0,20,39,0,-1
17,4,193830,1,7,4,12,3,4,0,0,0,20,39,0,-1
32,4,231043,11,9,2,3,0,4,1,5178,0,48,39,1,-1
50,0,23780,12,14,3,0,2,4,1,0,0,40,39,0,-1
33,4,169879,9,13,2,10,0,4,1,3103,0,47,39,1,-1
64,4,270333,9,13,2,10,0,4,1,0,0,40,39,1,-1
20,4,138768,11,9,4,14,3,4,1,0,0,30,39,0,-1
17,4,32607,0,6,4,5,3,4,1,0,0,20,39,0,-1
47,6,93208,11,9,2,8,5,4,0,0,0,75,22,0,-1
56,4,186556,15,10,2,3,0,4,1,0,0,50,39,1,-1
64,4,169871,11,9,2,14,0,4,1,0,0,45,39,0,-1
